"Date","Price","Open","High","Low","Vol.","Change %"
"15-12-2020","28.65","30.50","30.60","28.65","6.82M","-4.98%"
"14-12-2020","30.15","30.15","30.15","29.10","8.34M","4.87%"
"11-12-2020","28.75","26.85","28.75","26.40","5.91M","9.94%"
"10-12-2020","26.15","27.50","27.80","25.25","4.24M","-4.74%"
"09-12-2020","27.45","28.50","28.90","26.55","9.63M","-0.36%"
"08-12-2020","27.55","26.50","27.55","25.60","24.17M","9.98%"
"07-12-2020","25.05","25.05","25.05","25.05","1.03M","9.87%"
"04-12-2020","22.80","22.80","22.80","22.80","659.67K","4.83%"
"03-12-2020","21.75","21.15","21.75","21.00","3.07M","4.82%"
"02-12-2020","20.75","20.80","21.25","20.20","3.31M","-0.24%"
"01-12-2020","20.80","22.00","22.10","20.40","4.37M","-2.58%"
"27-11-2020","21.35","21.70","21.90","20.90","3.34M","-1.84%"
"26-11-2020","21.75","23.00","23.00","21.35","10.96M","-3.12%"
"25-11-2020","22.45","22.50","22.50","21.55","15.53M","4.66%"
"24-11-2020","21.45","20.85","21.45","20.70","11.14M","4.89%"
"23-11-2020","20.45","20.10","20.60","19.80","6.33M","4.07%"
"20-11-2020","19.65","19.75","20.10","19.40","1.94M","0.51%"
"19-11-2020","19.55","19.60","19.90","19.40","1.12M","0.00%"
"18-11-2020","19.55","20.10","20.15","19.40","1.46M","-2.25%"
"17-11-2020","20.00","20.10","20.25","19.65","1.38M","2.04%"
"13-11-2020","19.60","19.50","19.85","19.25","825.06K","0.00%"
"12-11-2020","19.60","19.85","19.85","19.20","1.32M","-0.76%"
"11-11-2020","19.75","19.90","20.15","19.45","1.15M","0.77%"
"10-11-2020","19.60","19.65","19.95","19.40","1.55M","0.00%"
"09-11-2020","19.60","19.85","19.90","19.55","1.10M","-0.25%"
"06-11-2020","19.65","19.75","19.95","19.50","1.13M","0.51%"
"05-11-2020","19.55","20.00","20.00","19.45","1.27M","-1.01%"
"04-11-2020","19.75","19.60","20.30","19.60","1.42M","0.77%"
"03-11-2020","19.60","19.85","20.10","19.50","1.42M","-1.26%"
"02-11-2020","19.85","20.20","20.50","19.60","1.28M","-1.98%"
"30-10-2020","20.25","20.90","21.40","19.80","3.94M","-2.17%"
"29-10-2020","20.70","20.05","21.10","19.55","3.75M","2.99%"
"28-10-2020","20.10","20.85","21.20","19.90","1.95M","-3.60%"
"27-10-2020","20.85","21.25","21.50","20.80","3.13M","-4.58%"
"26-10-2020","21.85","23.45","23.75","21.85","4.36M","-5.00%"
"23-10-2020","23.00","22.20","23.00","22.10","5.33M","4.78%"
"22-10-2020","21.95","21.15","21.95","20.90","2.33M","4.77%"
"21-10-2020","20.95","21.35","21.50","20.70","1.08M","0.24%"
"20-10-2020","20.90","20.95","21.60","20.60","640.06K","-0.24%"
"19-10-2020","20.95","21.80","21.80","20.80","679.26K","-1.18%"
"16-10-2020","21.20","21.60","22.20","21.15","749.45K","-1.85%"
"15-10-2020","21.60","22.55","23.40","21.35","1.02M","-3.36%"
"14-10-2020","22.35","21.80","22.55","21.65","1.26M","2.29%"
"13-10-2020","21.85","21.30","22.10","20.80","949.65K","3.80%"
"12-10-2020","21.05","21.85","21.90","20.95","1.04M","-3.44%"
"09-10-2020","21.80","22.25","22.45","21.60","948.51K","-2.46%"
"08-10-2020","22.35","23.00","23.40","21.90","1.43M","-2.19%"
"07-10-2020","22.85","22.40","22.85","22.05","2.48M","4.82%"
"06-10-2020","21.80","20.80","21.80","20.80","853.31K","4.81%"
"05-10-2020","20.80","21.55","22.00","20.70","1.44M","-3.48%"
"01-10-2020","21.55","22.75","22.75","21.40","1.14M","-4.22%"
"30-09-2020","22.50","23.10","23.10","22.30","575.22K","-1.96%"
"29-09-2020","22.95","23.40","23.55","22.75","611.66K","-1.29%"
"28-09-2020","23.25","22.70","23.65","22.15","1.41M","1.75%"
"25-09-2020","22.85","22.00","22.85","21.50","966.68K","4.82%"
"24-09-2020","21.80","22.45","23.55","21.45","2.00M","-2.90%"
"23-09-2020","22.45","23.40","23.80","22.20","1.79M","-3.23%"
"22-09-2020","23.20","23.55","23.85","23.20","2.09M","-4.92%"
"21-09-2020","24.40","25.65","25.70","24.40","1.35M","-4.87%"
"18-09-2020","25.65","26.40","26.80","25.40","1.28M","-3.21%"
"17-09-2020","26.50","26.50","27.25","26.00","1.17M","-0.93%"
"16-09-2020","26.75","27.15","27.50","26.55","765.46K","-1.65%"
"15-09-2020","27.20","26.85","27.80","26.75","1.72M","1.30%"
"14-09-2020","26.85","27.50","28.10","26.65","1.19M","0.19%"
"11-09-2020","26.80","27.20","27.50","26.50","957.92K","-0.74%"
"10-09-2020","27.00","26.90","27.75","26.65","824.87K","0.56%"
"09-09-2020","26.85","27.05","27.15","26.20","742.70K","-2.19%"
"08-09-2020","27.45","27.00","28.00","26.00","1.12M","2.04%"
"07-09-2020","26.90","27.20","27.90","26.50","758.24K","-2.36%"
"04-09-2020","27.55","27.20","27.95","27.20","968.24K","-1.43%"
"03-09-2020","27.95","28.90","28.90","27.60","1.20M","-1.76%"
"02-09-2020","28.45","27.95","28.90","27.50","1.34M","2.71%"
"01-09-2020","27.70","27.90","28.45","27.05","2.54M","-2.64%"
"31-08-2020","28.45","29.85","30.00","28.45","2.71M","-4.85%"
"28-08-2020","29.90","31.50","31.90","29.70","4.34M","-4.32%"
"27-08-2020","31.25","30.00","31.25","29.60","3.73M","4.87%"
"26-08-2020","29.80","30.00","30.40","29.30","1.37M","0.68%"
"25-08-2020","29.60","30.00","30.55","29.40","1.51M","-0.34%"
